"Intel(R) HD Graphics 4600",5,5
"AMD Radeon HD 8400 / R3 Series",3,-1
"ATI Mobility Radeon HD 3400 Series",3,-1
"NVIDIA Quadro M1000M",2022,
"AMD Radeon HD 7660D",3,-1
"ATI Radeon HD 3200 Graphics (Microsoft Corporation WDDM 1.1)",3,-1
"NVIDIA GeForce GT 705",2016,
"AMD Radeon HD 8670D",3,-1
"AMD Radeon(TM) HD 8610G",3,-1
"NVIDIA Quadro 1000M",2022,
"NVIDIA GeForce 410M",2019,
"NVIDIA GeForce GTX 560 SE",2018,
"ATI Mobility Radeon HD 4500 Series",3,-1
"NVIDIA GeForce GTX 760",2016,
"AMD Radeon(TM) HD 6480G",3,-1
"NVIDIA GeForce 9500 GT",2014,
"AMD Radeon HD 8400",3,-1
"NVIDIA GeForce 9650M GT",2014,
"NVIDIA GeForce 315M",2020,
"ATI Mobility Radeon HD 4570",3,-1
"ATI Radeon HD 3600 Series",3,-1
"NVIDIA GeForce 920M",2014,
"NVIDIA GeForce GTX 970",2014,
"NVIDIA GeForce 930M",2014,
"NVIDIA GeForce GT 320M",2020,
"NVIDIA GeForce 210",2021,
"NVIDIA Quadro K1100M",2022,
"AMD Radeon HD 6700 Series",3,-1
"NVIDIA GeForce GT 520",2018,
"AMD Radeon HD 6670",3,-1
"ATI Mobility Radeon HD 4650",3,-1
"AMD Radeon HD 7310 Graphics",3,-1
"NVIDIA GeForce GT 610",2017,
"NVIDIA GeForce GT 520",2018,
"AMD Radeon HD 7520G",3,-1
"NVIDIA GeForce 9500 GT (Microsoft Corporation - WDDM v1.1)",2014,
"NVIDIA GeForce GTS 450",2019,
"NVIDIA GeForce GTX 770M",2016,
"AMD Radeon HD 7700 Series",3,-1
"NVIDIA GeForce GTX 750",2016,
"NVIDIA GeForce GT 640M",2017,
"NVIDIA GeForce GT 425M",2019,
"AMD Radeon HD 8330",3,-1
"AMD Radeon HD 8350",3,-1
"AMD Radeon HD 7640G + HD 7600M Dual Graphics",3,-1
"ATI Radeon HD 5670",3,-1
"NVIDIA GeForce G100",2022,
"NVIDIA GeForce 820M",2015,
"NVIDIA GeForce G210",2021,
"AMD Radeon HD 5500 Series",3,-1
"NVIDIA GeForce GT 320",2020,
"NVIDIA GeForce GTX 550 Ti",2018,
"NVIDIA GeForce 820M",2015,
"ATI Mobility Radeon X2300",3,-1
"NVIDIA GeForce GT 625",2017,
"AMD Radeon HD 7660G",3,-1
"ATI Radeon HD 4800 Series",3,-1
"NVIDIA GeForce GT 635M",2017,
"ATI Radeon Xpress 1150 Series",3,-1
"AMD Radeon 6600M and 6700M Series",3,-1
"NVIDIA GeForce GTX 745",2016,
"AMD Radeon HD 8210",3,-1
"NVIDIA GeForce 610M",2017,
"AMD Radeon HD 6290 Graphics",3,-1
"NVIDIA GeForce GTX 950M",2014,
"NVIDIA GeForce GT 630M",2017,
"NVIDIA GeForce 9600M GS",2014,
"AMD Radeon HD 7640G + 7600M Dual Graphics",3,-1
"NVIDIA GeForce GT 620",2017,
"ATI Radeon Xpress 1150",3,-1
"NVIDIA GeForce GTX 1050 Ti",2022,
"ATI Radeon HD 3870 (Microsoft Corporation - WDDM v1.1)",3,-1
"NVIDIA GeForce 9600 GT (Microsoft Corporation - WDDM v1.1)",2014,
"NVIDIA GeForce 7300 SE/7200 GS",2016,
"NVIDIA GeForce GTS 450",2019,
"AMD Radeon HD 7800 Series",3,-1
"ATI Mobility Radeon HD 5400 Series",3,-1
"AMD Radeon HD 7570 Series",3,-1
"NVIDIA GeForce 8200 (Microsoft Corporation - WDDM v1.1)",2015,
"AMD Radeon HD 6310 Graphics",3,-1
