,,SURVIVED,
1481152754,HLHOBZBVxvegQxfs,DECEASED,SamCruz0511
1481152931,xJbUirICaTCjByrQ,DECEASED,xMassFsN
1481153663,KTQotZGhPZnzPavt,DECEASED,#Martin
1481154047,EaecxtjHrDBVmxZL,DECEASED,#Martin
1481154370,vmKROoGvJCJgjjNI,DECEASED,RayDor
1481154685,ccjrEIdwlsMBLcAd,DECEASED,Mr.terrorista
1481154962,ZzegBmpMQnuLqoZM,DECEASED,UnequaledChair54
1481155149,DpeWpirBkqeejOqx,DECEASED,xMassFsN
1481155331,uRLJgSmxWwYgFWor,DECEASED,SeBi7u7
1481155447,tXxIfsXmFwRXudhm,DECEASED,UnequaledChair54
1481156220,EMIsvvoXSpPwBFcK,DECEASED,Snowy
1481156479,UfiANlxjycIAixuA,DECEASED,#Martin
1481156571,aRjrMRVjZfplAoeh,SURVIVED,SeBi7u7
1481156693,rypfYjYtpdhLqrRa,DECEASED,RobertoGP
1481157341,eFfgIOpEGcpRlXqG,DECEASED,Sulcanito
1481157498,fPtKLFYrlsxABjaT,DECEASED,RobertoGP
1481157577,bipMhNORMfjkfvhI,DECEASED,SordidAneroid22
1481157649,vfpqNHOovYjggRUy,SURVIVED,#Martin
1481158162,izbgwUdmpMyrvudu,DECEASED,SordidAneroid22
1481158346,BRwvHolRRbABmaXl,DECEASED,#Martin
1481158455,HQGaNgwKBJfbwRyd,DECEASED,SordidAneroid22
1481158911,BhGhKXoDSDcYWEuG,DECEASED,#Martin
1481159062,UPgVKfTfufkfaBOo,DECEASED,SeBi7u7
1481159253,LbBSXBzALQogijiE,DECEASED,RayDor
1481159971,lhGvMtpYglpTpQlw,SURVIVED,SamCruz0511
1481160186,HjnOswlaplBEXhlF,SURVIVED,jhoansantiago360
1481162655,jfQkQowotqdDGZBE,SURVIVED,Santos
1481163686,PjgpxVfyVgTZrsqZ,DECEASED,Santos
1481164602,yaYxPpFkfLkGIhKB,SURVIVED,RobertoGP
1481165036,aKxJZETxWTtGaWYF,SURVIVED,Santos
1481166010,QubtWSRISvKgrgES,SURVIVED,DeuZ
1481178326,zIYETvfVfPjFYQQt,SURVIVED,Lucaslima
1481184129,pofAIQXkKALrXTzf,SURVIVED,DeliciousHero57
1481185172,xsYAHYmVoDvFmhSV,DECEASED,[W]HarleyQuinn
1481185526,VghKbQitGPmGwSHU,SURVIVED,[W]HarleyQuinn
1481185938,SCMPpXumgpiPwnEo,DECEASED,Jeff
1481186971,qlSjOJgOiwLvSahJ,SURVIVED,mostafa_alex
1481188538,QykPuQmsDQMtWVCe,DECEASED,HugeSeastar59
1481188900,lIxYXJKbGkCjGurN,SURVIVED,[W]HarleyQuinn
1481190359,rYmAiYtxXpPtJJYY,DECEASED,ANTONI1203
1481190617,FppnZsqkaCufxmQp,SURVIVED,Angel12
1481192058,gzcTcAFMFrOQAMbm,SURVIVED,07suleyman
1481193393,hgetuhUjHKgNhKis,SURVIVED,MoldySnail58
1481194017,CLwllYBpAQGTemHP,DECEASED,[W]HarleyQuinn
1481194286,idNngKvIZfKEwXXE,DECEASED,[W]HarleyQuinn
1481194773,ubKgfWWpHlZPlMcR,DECEASED,[W]HarleyQuinn
1481195311,stAYvPjszIenCTVS,DECEASED,[W]HarleyQuinn
1481195656,sqjIUyMkZDQRZpdQ,DECEASED,[W]HarleyQuinn
1481195970,ohURDadpKUpdDipO,DECEASED,[W]HarleyQuinn
1481196070,JmkLAWUCroipJZig,SURVIVED,[W]HarleyQuinn
1481196700,vYopdUZGbAjPtalT,DECEASED,[W]HarleyQuinn
1481197039,nLZdlrMwqlGYXEMS,DECEASED,Eslam.Mohamed10055
1481197419,ypcZxpCOhfgcPLjc,SURVIVED,Eslam.Mohamed10055
1481198342,xbnQDSbzHcrdIVuH,SURVIVED,WoozySpleen70
1481198605,TNuuHkDXdjSQJSqK,DECEASED,Eslam.Mohamed10055
1481199451,aKGtcttZZAbBPxIX,SURVIVED,Angel12
1481199760,IdBDlGPOqWNqzjeE,DECEASED,TwoShoerack79
1481201038,vpUsLfQYXdgJAiMY,SURVIVED,Vlad
1481202023,VegRgkFoNQDkKkIc,DECEASED,Vlad
1481202368,rgMxVYmypqpHUtXv,DECEASED,SWAT2
